0% 0.4561 0.8991 0.9945 0.9939 0.9926 0.00661145940341 0.001365869686317 0.00048 0.00036471723499 0.000616565997602
2.00% 0.5185 0.8762 0.9917 0.9943 0.9876 0.039218314332183 0.007860686992878 0.001631226532398 0.002443340409942 0.004477380300825
4.00% 0.7873 0.8026 0.977 0.9824 0.9891 0.304859869494627 0.061965283828931 0.017001591102012 0.011389442041917 0.005650009459775
6.00% 0.8551 0.7689 0.9703 0.9834 0.979 0.222212978313583 0.055091955855642 0.017075186675407 0.01227927801175 0.021445752014072
8.00% 1.0617 0.7008 0.956 0.9767 0.9802 0.166977332821768 0.047605946057189 0.014348310005015 0.01483200907763 0.015544535851701
10.0% 1.3128 0.621 0.935 0.9703 0.9488 0.386615476048867 0.073778005530104 0.030167997944842 0.032567098686568 0.037859345003116
12.00% 1.6852 0.5044 0.8684 0.9097 0.9715 0.46616329762473 0.09479913976403 0.070310418146958 0.067998617793085 0.02597992893989
14.00% 2.3465 0.3313 0.7712 0.833 0.9721 0.652203236850825 0.130754990726932 0.114444750425697 0.11689712282723 0.042284625433623
16.00% 2.5335 0.2585 0.7316 0.7678 0.967 0.666891656171181 0.084393118795314 0.075303811988504 0.116460046537471 0.044004676410754
18.00% 2.9648 0.1396 0.6031 0.5938 0.9932 0.397178496979951 0.020660505802134 0.056923395014704 0.052971899304127 0.011625507250415
20.0% 2.8101 0.1413 0.571 0.6094 0.9802 0.250433294981306 0.041181608759251 0.047213964036077 0.128044797941677 0.038731345488404
25.00% 3.0033 0.1002 0.5116 0.5011 1 0.242025957035223 0.000718052922841 0.021969606277765 0.001648057068295 0
30.0% 2.801 0.1 0.5106 0.5006 1 0.077454285041682 8.99999999999984E-05 0.015837932314542 0.000231328125 0
